"Country or Area","Year","Area","Sex","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Afghanistan","2010","Total","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2011","11960900","1"
"Afghanistan","2010","Urban","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2011","5690300","1"
"Afghanistan","2010","Urban","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2011","2929900","1"
"Afghanistan","2010","Urban","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2011","2760400","1"
"Afghanistan","2010","Rural","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2011","18795300","1"
"Afghanistan","2010","Rural","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2011","9594800","1"
"Afghanistan","2010","Rural","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2011","9200500","1"
"Afghanistan","2009","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2011","23993500","1"
"Afghanistan","2009","Total","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2011","12272900","1"
"Afghanistan","2009","Total","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2011","11720600","1"
"Afghanistan","2009","Urban","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2011","5507300","1"
"Afghanistan","2009","Urban","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2011","2835900","1"
"Afghanistan","2009","Urban","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2011","2671400","1"
"Afghanistan","2009","Rural","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2011","18486200","1"
"Afghanistan","2009","Rural","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2011","9437000","1"
"Afghanistan","2009","Rural","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2011","9049200","1"
"Afghanistan","2008","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","23511400","1"
"Afghanistan","2008","Total","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","12025700","1"
"Afghanistan","2008","Total","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","11485700","1"
"Afghanistan","2008","Urban","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","5330200","1"
"Afghanistan","2008","Urban","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","2744400","1"
"Afghanistan","2008","Urban","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","2585800","1"
"Afghanistan","2008","Rural","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","18181200","1"
"Afghanistan","2008","Rural","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","9281300","1"
"Afghanistan","2008","Rural","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","8899900","1"
"Afghanistan","2007","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","23038900","1"
"Afghanistan","2007","Total","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","11783600","1"
"Afghanistan","2007","Total","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","11255300","1"
"Afghanistan","2007","Urban","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","5159200","1"
"Afghanistan","2007","Urban","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","2656200","1"
"Afghanistan","2007","Urban","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","2503000","1"
"Afghanistan","2007","Rural","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","17879700","1"
"Afghanistan","2007","Rural","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","9127400","1"
"Afghanistan","2007","Rural","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","8752300","1"
"Afghanistan","2006","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2007","22575900","1"
"Afghanistan","2006","Total","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2007","11545800","1"
"Afghanistan","2006","Total","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2007","11030100","1"
"Afghanistan","2006","Urban","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2007","4862100","1"
"Afghanistan","2006","Urban","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2007","2503100","1"
"Afghanistan","2006","Urban","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2007","2359000","1"
"Afghanistan","2006","Rural","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2007","17713800","1"
"Afghanistan","2006","Rural","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2007","9042700","1"
"Afghanistan","2006","Rural","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2007","8671100","1"
"Afghanistan","2005","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","22097900","1"
"Afghanistan","2005","Total","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","11301300","1"
"Afghanistan","2005","Total","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","10796600","1"
"Afghanistan","2005","Urban","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","4759200","1"
"Afghanistan","2005","Urban","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","2450100","1"
"Afghanistan","2005","Urban","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","2309100","1"
"Afghanistan","2005","Rural","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","17338700","1"
"Afghanistan","2005","Rural","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","8851200","1"
"Afghanistan","2005","Rural","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","8487500","1"
"Afghanistan","2004","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","21677700","1"
"Afghanistan","2004","Total","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","11086400","1"
"Afghanistan","2004","Total","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","10591300","1"
"Afghanistan","2004","Urban","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","4668700","1"
"Afghanistan","2004","Urban","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","2403500","1"
"Afghanistan","2004","Urban","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","2265200","1"
"Afghanistan","2004","Rural","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","17009000","1"
"Afghanistan","2004","Rural","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","8682900","1"
"Afghanistan","2004","Rural","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","8326100","1"
"Afghanistan","2003","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","20691400","1"
"Afghanistan","2003","Total","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","10657000","1"
"Afghanistan","2003","Total","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","10034400","1"
"Afghanistan","2003","Urban","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","4629500","1"
"Afghanistan","2003","Urban","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","2419700","1"
"Afghanistan","2003","Urban","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","2209800","1"
"Afghanistan","2003","Rural","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","16061900","1"
"Afghanistan","2003","Rural","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","8237300","1"
"Afghanistan","2003","Rural","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","7824600","1"
"Afghanistan","2002","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","20297800","1"
"Afghanistan","2002","Total","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","10453500","1"
"Afghanistan","2002","Total","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","9844300","1"
"Afghanistan","2002","Urban","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","4463000","1"
"Afghanistan","2002","Urban","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","2332600","1"
"Afghanistan","2002","Urban","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","2130400","1"
"Afghanistan","2002","Rural","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","15834800","1"
"Afghanistan","2002","Rural","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","8120900","1"
"Afghanistan","2002","Rural","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","7713900","1"
"Afghanistan","2001","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","19910900","1"
"Afghanistan","2001","Total","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","10253200","1"
"Afghanistan","2001","Total","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","9657700","1"
"Afghanistan","2001","Urban","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","4308700","1"
"Afghanistan","2001","Urban","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","2251900","1"
"Afghanistan","2001","Urban","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","2056800","1"
"Afghanistan","2001","Rural","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","15602200","1"
"Afghanistan","2001","Rural","Male","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","8001300","1"
"Afghanistan","2001","Rural","Female","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","7600900","1"
"Andorra","2022","Total","Both Sexes","Estimate - de jure","Final figure, complete","2021","79535","2"
"Andorra","2022","Total","Male","Estimate - de jure","Final figure, complete","2021","40731","2"
"Andorra","2022","Total","Female","Estimate - de jure","Final figure, complete","2021","38804","2"
"Andorra","2021","Total","Both Sexes","Estimate - de jure","Final figure, complete","2021","78015","2"
"Andorra","2021","Total","Male","Estimate - de jure","Final figure, complete","2021","39740","2"
"Andorra","2021","Total","Female","Estimate - de jure","Final figure, complete","2021","38275","2"
"Andorra","2020","Total","Both Sexes","Estimate - de jure","Final figure, complete","2021","77543","2"
"Andorra","2020","Total","Male","Estimate - de jure","Final figure, complete","2021","39472","2"
"Andorra","2020","Total","Female","Estimate - de jure","Final figure, complete","2021","38071","2"
"Andorra","2019","Total","Both Sexes","Estimate - de jure","Final figure, complete","2020","76177","2"
"Andorra","2019","Total","Male","Estimate - de jure","Final figure, complete","2020","38789","2"
"Andorra","2019","Total","Female","Estimate - de jure","Final figure, complete","2020","37388","2"
"Andorra","2018","Total","Both Sexes","Estimate - de jure","Final figure, complete","2019","74794","2"
"Andorra","2018","Total","Male","Estimate - de jure","Final figure, complete","2019","38031","2"
"Andorra","2018","Total","Female","Estimate - de jure","Final figure, complete","2019","36763","2"
"Andorra","2017","Total","Both Sexes","Estimate - de jure","Final figure, complete","2019","73105","2"
"Andorra","2017","Total","Male","Estimate - de jure","Final figure, complete","2019","37047","2"
"Andorra","2017","Total","Female","Estimate - de jure","Final figure, complete","2019","36058","2"
"Andorra","2016","Total","Both Sexes","Estimate - de jure","Final figure, complete","2016","72358","2"
"Andorra","2016","Total","Both Sexes","Estimate - de jure","Final figure, complete","2017","71732","2"
"Andorra","2016","Total","Male","Estimate - de jure","Final figure, complete","2017","36229","2"
"Andorra","2016","Total","Male","Estimate - de jure","Final figure, complete","2016","36590","2"
"Andorra","2016","Total","Female","Estimate - de jure","Final figure, complete","2016","35768","2"
"Andorra","2016","Total","Female","Estimate - de jure","Final figure, complete","2017","35503","2"
"Andorra","2015","Total","Both Sexes","Estimate - de jure","Final figure, complete","2016","70901","2"
"Andorra","2015","Total","Male","Estimate - de jure","Final figure, complete","2016","35741","2"
"Andorra","2015","Total","Female","Estimate - de jure","Final figure, complete","2016","35160","2"
"Andorra","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2016","70155","2"
"Andorra","2014","Total","Male","Estimate - de jure","Final figure, complete","2016","35364","2"
"Andorra","2014","Total","Female","Estimate - de jure","Final figure, complete","2016","34791","2"
"Andorra","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2016","69929","2"
"Andorra","2013","Total","Male","Estimate - de jure","Final figure, complete","2016","35206","2"
"Andorra","2013","Total","Female","Estimate - de jure","Final figure, complete","2016","34723","2"
"Andorra","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2016","69758","2"
"Andorra","2012","Total","Male","Estimate - de jure","Final figure, complete","2016","35147","2"
"Andorra","2012","Total","Female","Estimate - de jure","Final figure, complete","2016","34611","2"
"Andorra","2011","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2019","69758","2"
"Andorra","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2016","69772","2"
"Andorra","2011","Total","Male","Census - de jure - complete tabulation","Final figure, complete","2019","35147","2"
"Andorra","2011","Total","Male","Estimate - de jure","Final figure, complete","2016","35204","2"
"Andorra","2011","Total","Female","Census - de jure - complete tabulation","Final figure, complete","2019","34611","2"
"Andorra","2011","Total","Female","Estimate - de jure","Final figure, complete","2016","34568","2"
"Andorra","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2016","70290","2,3"
"Andorra","2010","Total","Male","Estimate - de jure","Final figure, complete","2016","35592","2,3"
"Andorra","2010","Total","Female","Estimate - de jure","Final figure, complete","2016","34698","2,3"
"Andorra","2009","Total","Both Sexes","Estimate - de jure","Final figure, complete","2009","85116","2"
"Andorra","2009","Total","Male","Estimate - de jure","Final figure, complete","2009","44444","2"
"Andorra","2009","Total","Female","Estimate - de jure","Final figure, complete","2009","40672","2"
"Andorra","2008","Total","Both Sexes","Estimate - de jure","Final figure, complete","2008","83884","2"
"Andorra","2008","Total","Male","Estimate - de jure","Final figure, complete","2008","43911","2"
"Andorra","2008","Total","Female","Estimate - de jure","Final figure, complete","2008","39973","2"
"Andorra","2007","Total","Both Sexes","Estimate - de jure","Final figure, complete","2007","83137","2"
"Andorra","2007","Total","Both Sexes","Estimate - de jure","Final figure, complete","2008","82392","2"
"Andorra","2007","Total","Male","Estimate - de jure","Final figure, complete","2008","43100","2"
"Andorra","2007","Total","Male","Estimate - de jure","Final figure, complete","2007","43515","2"
"Andorra","2007","Total","Female","Estimate - de jure","Final figure, complete","2007","39622","2"
"Andorra","2007","Total","Female","Estimate - de jure","Final figure, complete","2008","39292","2"
"Andorra","2006","Total","Both Sexes","Estimate - de jure","Final figure, complete","2007","81222","2"
"Andorra","2006","Total","Both Sexes","Estimate - de jure","Final figure, complete","2008","80104","2"
"Andorra","2006","Total","Male","Estimate - de jure","Final figure, complete","2008","41876","2"
"Andorra","2006","Total","Male","Estimate - de jure","Final figure, complete","2007","42517","2"
"Andorra","2006","Total","Female","Estimate - de jure","Final figure, complete","2007","38705","2"
"Andorra","2006","Total","Female","Estimate - de jure","Final figure, complete","2008","38228","2"
"Andorra","2005","Total","Both Sexes","Estimate - de jure","Final figure, complete","2007","78549","2"
"Andorra","2005","Total","Both Sexes","Estimate - de jure","Final figure, complete","2008","78607","2"
"Andorra","2005","Total","Male","Estimate - de jure","Final figure, complete","2008","41097","2"
"Andorra","2005","Total","Male","Estimate - de jure","Final figure, complete","2007","40974","2"
"Andorra","2005","Total","Female","Estimate - de jure","Final figure, complete","2007","37575","2"
"Andorra","2005","Total","Female","Estimate - de jure","Final figure, complete","2008","37510","2"
"Andorra","2004","Total","Both Sexes","Estimate - de jure","Final figure, complete","2007","76875","2"
